id_cliente	frequencia_compra_ano	ticket_medio_historico	tempo_relacionamento_meses	recencia_dias	nro_categorias_compradas	categoria_preferida	canal_aquisicao	usa_aplicativo	idade	regiao	assinante_newsletter	genero	dispositivo_acesso	valor_total_gasto
E000018	2	90.78	30	375	2	moda	parceria	nao	27	Sudeste	nao	masculino	desktop	282.42
E000019	4	92.65	5	27	4	beleza	organica	sim	37	Sudeste	sim	feminino	mobile	286.27
E000020	7	54.33	15	61	3	alimentos_bebidas	organica	nao	28	Norte	sim	masculino	desktop	395.75
E000021	8	128.04	13	212	3	moda	paga_google	sim	36	Sudeste	nao	feminino	mobile	1141.76
E000022	1	52.6	4	120	1	esporte	paga_facebook	sim	18	Sul	nao	masculino	mobile	62.76
E000023	8	133.34	4	108	6	eletronicos	organica	sim	47	Nordeste	nao	feminino	desktop	600.53
E000024	7	164.75	13	177	3	moda	organica	sim	19	Nordeste	nao	feminino	mobile	1412.43
E000025	7	121.27	25	143	4	casa_decoracao	paga_google	nao	21	Nordeste	sim	masculino	mobile	2347.44
E000026	1	68.16	16	277	1	infantil	organica	nao	30	Sul	nao	masculino	mobile	50
E000027	2	103.14	51	27	2	casa_decoracao	paga_facebook	sim	40	Nordeste	nao	feminino	mobile	1113.99
E000028	9	60.84	22	85	2	livros	paga_google	sim	38	Sudeste	sim	feminino	desktop	1071.51
E000029	11	228.53	10	41	2	beleza	paga_facebook	nao	30	Nordeste	nao	feminino	mobile	2300.32
E000030	7	95.53	17	28	4	infantil	organica	nao	44	Sul	sim	feminino	desktop	1501.03
E000031	5	78.83	41	554	1	moda	indicacao	nao	46	Sudeste	nao	masculino	desktop	739.35
E000032	7	125.62	6	180	1	casa_decoracao	paga_google	nao	41	Sudeste	sim	masculino	desktop	714.77
E000033	6	59.58	9	146	4	esporte	organica	sim	49	Nordeste	sim	feminino	desktop	303.76
E000034	4	42.5	26	208	1	alimentos_bebidas	paga_google	sim	30	Sudeste	nao	masculino	mobile	267.14
E000035	4	61.28	27	407	1	livros	organica	nao	27	Sudeste	sim	masculino	mobile	235.31
E000036	6	61.34	19	185	6	beleza	parceria	nao	31	Sudeste	sim	masculino	mobile	550.53
E000037	13	157.95	25	648	4	infantil	paga_google	nao	54	Sudeste	sim	feminino	desktop	2311.21
E000038	1	164.37	10	287	1	eletronicos	organica	nao	50	Sudeste	sim	masculino	desktop	177.47
E000039	16	125.72	25	203	2	beleza	paga_google	nao	49	Centro-Oeste	sim	feminino	desktop	3474.11
E000040	5	112.38	21	99	3	livros	organica	sim	18	Nordeste	nao	feminino	mobile	795.01
E000041	8	213.41	58	99	2	casa_decoracao	indicacao	sim	45	Norte	nao	masculino	desktop	9453.33
E000042	8	149.43	66	705	4	beleza	organica	nao	59	Sudeste	sim	feminino	tablet	3678.39
E000043	5	111.17	39	162	1	esporte	paga_facebook	nao	44	Nordeste	nao	masculino	desktop	1698.37
E000044	9	194.31	15	427	2	esporte	paga_google	sim	43	Sudeste	sim	feminino	desktop	1438.59
E000045	10	219.95	22	120	1	moda	organica	nao	40	Nordeste	nao	feminino	mobile	3413.84
E000046	5	78.67	15	266	1	eletronicos	paga_facebook	nao	31	Nordeste	nao	feminino	desktop	439.19
E000047	9	85.8	8	154	4	moda	paga_google	sim	31	Sudeste	sim	masculino	mobile	698.35
E000048	2	196.17	39	367	2	casa_decoracao	paga_facebook	nao	37	Sudeste	nao	feminino	mobile	961.47
E000049	11	229.87	20	116	2	beleza	indicacao	nao	30	Nordeste	sim	feminino	mobile	3894.57
E000050	3	104.58	2	60	1	casa_decoracao	paga_google	nao	31	Sul	nao	feminino	mobile	132.07
E000051	7	98.45	38	90	6	esporte	organica	nao	42	Nordeste	nao	feminino	desktop	2187.35
E000052	4	52.44	37	165	1	esporte	organica	sim	42	Nordeste	sim	masculino	desktop	783.22
E000053	5	137.76	40	262	1	casa_decoracao	paga_facebook	sim	37	Sudeste	nao	feminino	mobile	2675.3
E000054	2	55.79	15	230	2	moda	organica	sim	40	Sudeste	nao	masculino	desktop	103.93
E000055	10	91.23	14	196	4	infantil	parceria	nao	49	Sudeste	nao	masculino	desktop	942.34
E000056	5	134.77	3	90	4	casa_decoracao	paga_facebook	sim	33	Nordeste	sim	masculino	mobile	201.75
E000057	4	63.06	23	182	1	beleza	paga_google	sim	18	Norte	sim	feminino	mobile	557.71
E000058	3	94.52	15	112	2	alimentos_bebidas	indicacao	sim	41	Nordeste	nao	feminino	desktop	353.43
E000059	9	174.99	21	382	4	beleza	organica	sim	32	Sul	nao	feminino	mobile	1713.47
E000060	8	76.62	10	85	2	beleza	paga_google	nao	36	Centro-Oeste	nao	masculino	desktop	453.9
E000061	11	90.69	6	165	4	beleza	paga_facebook	sim	24	Centro-Oeste	sim	masculino	mobile	542.51
E000062	16	211.29	17	41	1	casa_decoracao	organica	sim	35	Sudeste	sim	masculino	desktop	10385.38
E000063	8	302.56	11	230	3	eletronicos	paga_google	sim	35	Sudeste	nao	masculino	mobile	2736.7
E000064	5	53.83	31	95	2	moda	paga_facebook	nao	41	Nordeste	sim	feminino	desktop	788.69
E000065	3	83.05	22	147	3	esporte	paga_facebook	nao	71	Sul	nao	feminino	tablet	442.94
E000066	5	73.01	25	215	1	moda	organica	nao	33	Sudeste	nao	masculino	tablet	674.43
E000067	3	82.95	62	42	1	alimentos_bebidas	organica	sim	35	Centro-Oeste	nao	feminino	mobile	1330.53
E000068	2	95.26	30	275	2	eletronicos	indicacao	nao	31	Centro-Oeste	nao	feminino	mobile	460.02
E000069	9	83.42	52	112	3	moda	email_marketing	sim	31	Sudeste	nao	feminino	desktop	4644.43
E000070	8	125.51	10	165	3	infantil	paga_google	nao	30	Sul	sim	masculino	desktop	945.05
E000071	4	111.46	16	134	4	beleza	paga_facebook	nao	39	Sudeste	nao	masculino	tablet	540.68
E000072	7	82.89	48	143	3	beleza	organica	nao	21	Sudeste	nao	masculino	desktop	2226.46
E000073	2	58.37	21	490	1	moda	organica	sim	38	Sudeste	nao	masculino	desktop	132.1
E000074	5	111.37	45	53	4	casa_decoracao	organica	sim	46	Nordeste	nao	masculino	mobile	2800.91
E000075	4	76.94	13	129	3	eletronicos	parceria	sim	18	Norte	nao	feminino	mobile	392.09
E000076	7	149.71	6	169	5	moda	paga_facebook	sim	27	Sul	sim	masculino	mobile	791.83
E000077	5	114.94	33	152	3	moda	organica	sim	24	Sudeste	nao	feminino	mobile	1994.57
E000078	1	42.35	20	581	1	alimentos_bebidas	paga_google	nao	37	Nordeste	nao	masculino	desktop	50
E000079	8	105.85	10	254	3	eletronicos	organica	nao	27	Sudeste	nao	feminino	mobile	805.62
E000080	10	217.36	65	397	1	casa_decoracao	organica	sim	51	Nordeste	sim	masculino	tablet	8922.3
E000081	8	47.68	41	113	3	moda	email_marketing	sim	40	Sudeste	nao	feminino	tablet	1684.62
E000082	8	151.79	8	195	5	moda	indicacao	nao	27	Sudeste	sim	feminino	desktop	703.32
E000083	1	112.98	40	277	1	eletronicos	organica	nao	18	Sudeste	sim	masculino	mobile	378.05
E000084	12	123.92	10	124	1	esporte	paga_google	nao	32	Sul	sim	feminino	desktop	1632.62
E000085	8	83.82	16	137	3	beleza	paga_facebook	nao	18	Sudeste	nao	feminino	mobile	928.81
E000086	6	107.74	11	79	1	livros	paga_google	sim	43	Sudeste	sim	feminino	mobile	616.32
E000087	9	120.65	20	147	2	esporte	paga_facebook	sim	51	Sudeste	sim	masculino	desktop	2639.55
E000088	7	207.12	33	120	5	casa_decoracao	paga_google	nao	50	Sudeste	nao	masculino	desktop	5559.19
E000089	9	99.32	22	70	3	moda	parceria	nao	54	Nordeste	nao	feminino	mobile	1551.11
E000090	8	75.01	22	159	3	livros	paga_google	sim	54	Sudeste	sim	feminino	tablet	1113.05
E000091	8	77.02	21	174	3	alimentos_bebidas	organica	nao	31	Sudeste	sim	masculino	mobile	885.67
E000092	1	59.49	29	624	1	moda	paga_facebook	nao	54	Sudeste	nao	masculino	desktop	55.65
E000093	9	123.76	23	28	1	moda	organica	sim	35	Centro-Oeste	nao	masculino	desktop	2602.03
E000094	7	154.76	34	42	4	eletronicos	paga_facebook	sim	54	Sudeste	sim	masculino	tablet	6807.14
E000095	2	104.31	9	258	2	eletronicos	organica	nao	53	Sul	nao	masculino	tablet	227.5
E000096	8	100.2	46	217	2	esporte	paga_google	sim	18	Sudeste	sim	feminino	mobile	3406.42
E000097	7	149.47	30	43	1	eletronicos	email_marketing	nao	47	Sul	nao	feminino	tablet	4154.03
E000098	3	76.36	36	53	1	livros	email_marketing	nao	41	Nordeste	sim	masculino	mobile	615.25
E000099	2	127.06	38	147	1	eletronicos	paga_facebook	sim	22	Nordeste	nao	masculino	mobile	983.03
E000100	3	60.31	22	289	1	esporte	paga_google	nao	50	Sul	nao	masculino	desktop	271.82
E000101	5	109.59	19	95	5	alimentos_bebidas	indicacao	nao	45	Centro-Oeste	nao	feminino	desktop	677.11
E000102	5	139.07	50	218	1	eletronicos	indicacao	nao	44	Nordeste	sim	feminino	desktop	3570.91
E000103	4	221.61	15	417	1	eletronicos	indicacao	sim	36	Centro-Oeste	nao	feminino	mobile	806.48
E000104	11	319.66	9	71	3	casa_decoracao	paga_facebook	nao	38	Sudeste	sim	feminino	desktop	4128.69
E000105	7	84.43	12	212	5	esporte	parceria	nao	23	Sul	nao	feminino	desktop	520.62
E000106	5	149.54	17	228	4	eletronicos	organica	nao	20	Centro-Oeste	nao	feminino	mobile	1060.13
E000107	6	274.41	26	113	5	eletronicos	indicacao	nao	23	Nordeste	nao	feminino	mobile	4200.13
E000108	6	114.66	21	116	3	casa_decoracao	email_marketing	nao	49	Sudeste	sim	feminino	tablet	1883.71
E000109	7	107.97	19	390	6	esporte	organica	nao	51	Nordeste	nao	feminino	desktop	691.52
E000110	1	43.36	21	129	1	livros	paga_google	sim	40	Sudeste	sim	masculino	mobile	79.56
E000111	9	97.44	21	189	5	moda	paga_facebook	nao	33	Centro-Oeste	sim	feminino	mobile	1512.98
E000112	7	127.62	39	177	3	casa_decoracao	indicacao	nao	52	Nordeste	nao	feminino	mobile	2404.38
E000113	2	124.92	17	100	2	moda	paga_google	nao	38	Sudeste	sim	masculino	desktop	473.9
E000114	3	97.59	11	165	2	eletronicos	organica	nao	29	Norte	nao	feminino	mobile	304.55
E000115	12	135.12	10	85	4	eletronicos	email_marketing	nao	32	Sul	nao	feminino	mobile	1805.65
E000116	16	101.9	22	2	3	moda	paga_facebook	nao	36	Nordeste	nao	masculino	mobile	3122.16
E000117	2	111.23	42	245	1	eletronicos	paga_google	sim	20	Sudeste	nao	feminino	mobile	1030.59
E000118	3	40.31	3	90	2	alimentos_bebidas	organica	sim	24	Sudeste	nao	masculino	desktop	50
E000119	3	90.72	11	201	3	beleza	email_marketing	sim	24	Nordeste	nao	masculino	mobile	218.61
E000120	3	97.83	25	113	3	casa_decoracao	paga_facebook	nao	33	Sudeste	sim	feminino	mobile	810.07
E000121	5	92.88	35	137	3	eletronicos	paga_facebook	nao	18	Nordeste	sim	feminino	mobile	1603.68
E000122	6	228.9	11	239	6	moda	email_marketing	sim	28	Nordeste	sim	masculino	desktop	1453.41
E000123	18	101.84	45	165	6	moda	organica	sim	58	Sudeste	sim	masculino	desktop	9509.76
E000124	8	82.41	28	154	1	livros	organica	nao	43	Sudeste	sim	masculino	desktop	1301.9
E000125	2	157.31	38	200	1	moda	paga_facebook	nao	41	Sudeste	sim	masculino	mobile	862.98
E000126	11	167.77	48	418	3	casa_decoracao	paga_google	sim	41	Sul	nao	masculino	mobile	5013.04
E000127	7	127	50	124	3	casa_decoracao	email_marketing	sim	49	Centro-Oeste	nao	feminino	desktop	5083.36
E000128	5	39.67	34	124	4	alimentos_bebidas	paga_facebook	nao	39	Nordeste	sim	masculino	mobile	548.95
E000129	1	105.96	18	269	1	casa_decoracao	paga_google	nao	33	Sul	sim	masculino	desktop	217.75
E000130	7	150.38	13	79	2	eletronicos	email_marketing	nao	47	Nordeste	nao	feminino	mobile	1536.6
E000131	5	69.66	15	448	4	alimentos_bebidas	paga_facebook	sim	33	Nordeste	sim	masculino	mobile	176.99
E000132	5	78.45	44	246	5	infantil	paga_google	sim	43	Sul	sim	feminino	desktop	1456.13
E000133	9	78.4	20	53	2	livros	indicacao	sim	31	Sudeste	sim	masculino	mobile	1253.91
E000134	11	116.29	1	30	5	livros	organica	sim	39	Centro-Oeste	nao	masculino	mobile	109.55
E000135	9	129.01	40	452	5	infantil	indicacao	nao	37	Sudeste	sim	masculino	mobile	2492.72
E000136	4	86.17	51	140	3	esporte	paga_google	sim	49	Sul	sim	feminino	mobile	1863.74
E000137	12	127.08	22	96	3	beleza	email_marketing	sim	31	Sudeste	sim	feminino	tablet	3399.28
E000138	13	74.05	64	116	6	infantil	organica	sim	43	Sudeste	sim	feminino	mobile	7419.7
E000139	14	259.68	19	147	5	eletronicos	organica	sim	58	Sul	sim	masculino	desktop	11604.48
E000140	7	154.88	12	140	5	eletronicos	paga_google	nao	75	Nordeste	nao	feminino	tablet	1336.49
E000141	2	55.44	102	129	1	alimentos_bebidas	paga_google	sim	22	Sudeste	nao	feminino	mobile	915.53
E000142	2	59.93	14	292	1	alimentos_bebidas	indicacao	sim	27	Sudeste	nao	feminino	desktop	85.55
E000143	31	179.19	19	79	10	moda	indicacao	nao	33	Nordeste	sim	masculino	mobile	10930.8
E000144	4	127.79	47	193	1	moda	email_marketing	nao	25	Sudeste	sim	feminino	mobile	2263.13
E000145	2	47.18	21	130	2	beleza	organica	sim	40	Norte	sim	masculino	desktop	199.08
E000146	5	74.7	45	100	2	livros	paga_facebook	nao	41	Sudeste	sim	feminino	tablet	1368.1
E000147	2	68.27	40	286	1	esporte	paga_facebook	sim	22	Sudeste	nao	feminino	mobile	443.02
E000148	10	138.85	24	130	2	casa_decoracao	organica	sim	25	Nordeste	sim	masculino	mobile	3951.32
E000149	6	97.77	23	257	2	eletronicos	organica	sim	32	Sudeste	sim	masculino	mobile	1810.1
E000150	3	97.36	37	137	3	moda	email_marketing	sim	63	Centro-Oeste	sim	feminino	tablet	1180.21
E000151	15	161.75	8	86	4	casa_decoracao	indicacao	sim	46	Nordeste	nao	feminino	mobile	2197.03
E000152	3	56.78	23	202	3	esporte	indicacao	nao	46	Sudeste	nao	masculino	tablet	324.07
E000153	3	85.92	32	518	1	casa_decoracao	paga_google	nao	25	Sudeste	nao	masculino	mobile	439.25
E000154	2	100.3	9	270	2	eletronicos	paga_google	nao	45	Sul	sim	masculino	desktop	238.51
E000155	2	136.44	10	182	2	moda	organica	nao	49	Nordeste	nao	feminino	mobile	223.05
E000156	2	63.51	22	183	2	livros	indicacao	sim	24	Sudeste	sim	feminino	mobile	227.9
E000157	2	79.32	12	234	2	moda	paga_facebook	nao	44	Sudeste	nao	masculino	tablet	157.92
E000158	13	126.31	53	612	7	esporte	paga_facebook	sim	23	Centro-Oeste	sim	feminino	mobile	4630.84
E000159	1	94.07	32	436	1	moda	paga_google	nao	19	Sudeste	nao	feminino	mobile	154.91
E000160	7	85.77	17	181	6	alimentos_bebidas	paga_google	sim	36	Centro-Oeste	sim	feminino	desktop	915.97
E000161	14	176.19	14	369	3	esporte	organica	sim	44	Nordeste	sim	feminino	tablet	2031.14
E000162	7	76.48	25	100	1	infantil	email_marketing	sim	29	Sul	sim	masculino	mobile	1587.48
E000163	3	67.23	13	390	1	casa_decoracao	indicacao	nao	22	Sul	nao	feminino	mobile	119.39
E000164	25	176.42	5	79	3	moda	email_marketing	sim	57	Sudeste	nao	feminino	tablet	2389.36
E000165	22	112.21	41	116	1	moda	organica	sim	45	Sudeste	nao	masculino	desktop	9978.7
E000166	5	201.62	27	192	5	moda	paga_google	nao	32	Sudeste	nao	feminino	mobile	2134.11
E000167	1	109.86	28	79	1	moda	organica	nao	24	Sudeste	sim	masculino	mobile	290.08
E000168	3	106.92	31	104	3	esporte	email_marketing	nao	40	Sudeste	sim	masculino	mobile	1054.33
E000169	4	47.21	20	134	1	livros	parceria	nao	36	Sudeste	sim	masculino	mobile	274.9
E000170	1	63.19	43	86	1	livros	organica	sim	37	Norte	nao	masculino	mobile	185.14
E000171	6	127.01	23	104	3	infantil	organica	nao	51	Sul	sim	masculino	mobile	1989.08
E000172	2	137.3	15	116	2	casa_decoracao	organica	sim	44	Sudeste	nao	masculino	mobile	442.68
E000173	12	141.99	27	6	4	esporte	organica	nao	53	Sudeste	sim	feminino	desktop	5563.54
E000174	10	199.34	19	421	2	esporte	paga_facebook	nao	20	Sudeste	sim	masculino	mobile	2205.29
E000175	8	76.14	28	218	2	moda	email_marketing	sim	59	Sudeste	sim	masculino	desktop	1845.78
E000176	6	90.29	14	108	1	eletronicos	organica	nao	33	Sudeste	sim	feminino	desktop	1117.7
E000177	4	47.22	23	301	1	moda	paga_google	sim	61	Centro-Oeste	sim	feminino	desktop	325.35
E000178	1	57.95	25	54	1	livros	paga_google	nao	28	Sudeste	sim	feminino	desktop	106.86
E000179	16	288.51	18	80	5	casa_decoracao	paga_facebook	nao	21	Sudeste	nao	feminino	mobile	9243.49
E000180	1	43.45	23	264	1	beleza	organica	sim	46	Sul	nao	masculino	desktop	66.09
E000181	3	90.56	29	208	1	eletronicos	paga_google	nao	39	Sudeste	nao	masculino	desktop	721.22
E000182	1	64.43	47	472	1	casa_decoracao	organica	sim	44	Nordeste	nao	masculino	tablet	150.58
E000183	8	68.76	30	610	3	moda	indicacao	sim	37	Sudeste	sim	masculino	mobile	1064.43
E000184	9	150.38	17	54	4	esporte	organica	sim	29	Sul	sim	masculino	mobile	2787.78
E000185	1	93.56	14	387	1	infantil	parceria	nao	34	Nordeste	sim	masculino	desktop	50
E000186	1	76.18	17	260	1	esporte	paga_google	sim	31	Sudeste	nao	masculino	mobile	73.19
E000187	3	53.58	37	526	3	infantil	paga_facebook	nao	56	Sudeste	nao	feminino	desktop	278.7
E000188	7	135.55	20	80	3	moda	paga_facebook	nao	36	Centro-Oeste	sim	masculino	mobile	1768.26
E000189	10	123.73	12	176	3	eletronicos	indicacao	sim	40	Nordeste	sim	masculino	desktop	1716.75
E000190	11	115.16	6	178	6	livros	organica	sim	30	Sudeste	nao	masculino	mobile	559.69
E000191	8	93.7	21	54	4	moda	indicacao	nao	43	Nordeste	nao	feminino	desktop	1428.94
E000192	9	108.82	35	62	4	moda	indicacao	sim	50	Sudeste	sim	feminino	desktop	4445.93
E000193	6	49.57	14	294	4	moda	organica	sim	34	Sudeste	sim	feminino	mobile	384.57
E000194	6	67.7	18	202	4	alimentos_bebidas	organica	sim	38	Sudeste	nao	feminino	desktop	471.26
E000195	8	194.21	29	113	7	casa_decoracao	email_marketing	nao	25	Sudeste	nao	feminino	mobile	4719.99
E000196	2	97.3	18	240	2	esporte	organica	sim	31	Sudeste	nao	feminino	desktop	283.27
E000197	5	111.55	39	43	1	moda	organica	nao	37	Sul	nao	masculino	tablet	2347.96
E000198	4	143.34	10	71	4	moda	paga_facebook	nao	41	Nordeste	nao	feminino	desktop	424.62
E000199	7	139.13	36	373	5	eletronicos	paga_google	sim	25	Centro-Oeste	sim	masculino	mobile	2580.15
E000200	7	159.39	25	243	1	alimentos_bebidas	email_marketing	nao	49	Sudeste	nao	feminino	desktop	1571.91
E000201	4	45.64	53	143	1	beleza	paga_google	nao	24	Centro-Oeste	sim	masculino	mobile	721.29
E000202	6	97.01	21	104	1	casa_decoracao	paga_facebook	sim	43	Sudeste	sim	feminino	tablet	1667.92
E000203	7	131.63	6	43	2	infantil	organica	sim	25	Norte	nao	feminino	mobile	623.09
E000204	2	75.03	28	331	1	casa_decoracao	paga_google	sim	24	Centro-Oeste	nao	masculino	mobile	327.11
E000205	3	152.53	36	86	2	esporte	indicacao	sim	28	Sul	nao	masculino	mobile	1972.97
E000206	8	91.78	19	43	4	moda	paga_google	sim	29	Norte	nao	feminino	mobile	1446.56
E000207	16	225.79	26	137	1	infantil	paga_facebook	sim	43	Sul	sim	feminino	desktop	9886.35
E000208	5	102.37	5	150	5	beleza	paga_google	nao	43	Nordeste	sim	masculino	mobile	189.35
E000209	4	80.2	23	415	1	esporte	parceria	sim	35	Sudeste	nao	feminino	desktop	442.37
E000210	13	147.93	46	523	2	infantil	paga_google	sim	49	Sudeste	sim	feminino	desktop	5106.28
E000211	1	100.68	17	96	1	moda	paga_facebook	nao	44	Norte	nao	feminino	desktop	94.78
E000212	6	49.32	8	104	4	alimentos_bebidas	email_marketing	sim	42	Norte	nao	feminino	desktop	161.27
E000213	6	62.32	45	365	5	infantil	paga_facebook	sim	46	Nordeste	sim	masculino	desktop	1025.76
E000214	12	85.11	7	96	3	alimentos_bebidas	paga_facebook	sim	18	Centro-Oeste	nao	feminino	mobile	564.45
E000215	8	132.32	21	185	2	beleza	parceria	sim	41	Nordeste	nao	feminino	desktop	1615.58
E000216	6	47.34	7	80	2	livros	organica	nao	40	Sudeste	sim	feminino	mobile	167.47
E000217	13	98.34	12	172	2	beleza	paga_google	sim	44	Sudeste	sim	masculino	tablet	1555.06
E000218	1	52.71	40	306	1	infantil	organica	sim	40	Sudeste	nao	feminino	desktop	135.68
E000219	14	118.66	10	203	2	esporte	indicacao	sim	35	Nordeste	sim	masculino	desktop	1581.32
E000220	1	51.6	35	189	1	esporte	email_marketing	nao	36	Sudeste	sim	feminino	desktop	173.99
E000221	2	137.6	5	134	2	moda	paga_facebook	nao	28	Sudeste	nao	feminino	mobile	154.01
E000222	5	49.59	3	90	5	alimentos_bebidas	paga_google	nao	33	Sudeste	nao	masculino	tablet	50
E000223	12	126.4	15	43	1	eletronicos	indicacao	sim	44	Norte	nao	feminino	tablet	3243.59
E000224	1	77.41	68	210	1	beleza	indicacao	nao	69	Nordeste	nao	feminino	desktop	368.72
E000225	16	175.11	28	679	5	beleza	indicacao	sim	33	Sudeste	nao	feminino	desktop	3666.38
E000226	1	48.82	27	189	1	beleza	organica	sim	45	Sudeste	nao	feminino	desktop	101.6
E000227	15	109.45	8	176	3	moda	email_marketing	nao	49	Sudeste	sim	feminino	tablet	1148.77
E000228	5	76.61	13	255	2	esporte	paga_facebook	nao	31	Sudeste	nao	masculino	mobile	331.55
E000229	6	129.1	48	143	2	moda	email_marketing	nao	37	Centro-Oeste	sim	masculino	mobile	3754.56
E000230	3	84.33	39	225	2	livros	organica	sim	28	Sudeste	sim	feminino	mobile	639.88
E000231	2	92.69	36	189	1	casa_decoracao	organica	sim	62	Sul	sim	feminino	tablet	772.63
E000232	9	235.55	26	137	3	eletronicos	indicacao	sim	39	Sudeste	nao	masculino	desktop	8216.82
E000233	8	46.64	16	401	4	moda	paga_facebook	nao	30	Nordeste	sim	masculino	mobile	284.06
E000234	14	127.06	11	134	2	alimentos_bebidas	organica	sim	46	Sul	nao	feminino	desktop	1440.85
E000235	2	69.12	62	62	2	beleza	paga_facebook	sim	49	Sudeste	nao	feminino	desktop	837.73
E000236	7	46.91	18	176	1	beleza	organica	sim	55	Sudeste	sim	masculino	desktop	594.96
E000237	14	49.28	23	113	5	livros	organica	sim	40	Nordeste	sim	masculino	mobile	1195.19
E000238	1	42.39	27	332	1	infantil	indicacao	nao	41	Sul	nao	feminino	desktop	51
E000239	20	200	19	165	5	casa_decoracao	paga_facebook	sim	57	Sudeste	sim	feminino	tablet	9347.98
E000240	16	198.85	12	54	6	casa_decoracao	organica	sim	38	Sudeste	sim	masculino	tablet	5888.75
E000241	2	44.76	19	262	1	alimentos_bebidas	paga_facebook	sim	41	Sul	sim	masculino	desktop	98.12
E000242	10	163.77	17	54	5	alimentos_bebidas	indicacao	sim	45	Sul	sim	feminino	desktop	2404.27
E000243	16	114.77	62	192	3	eletronicos	paga_google	sim	54	Sudeste	nao	feminino	tablet	14608.59
E000244	9	125.89	32	249	1	casa_decoracao	paga_google	sim	32	Sudeste	nao	masculino	tablet	3706.46
E000245	5	115.87	26	104	3	beleza	paga_google	nao	50	Sudeste	sim	feminino	tablet	1587.93
E000246	4	244.43	33	116	4	esporte	organica	nao	47	Nordeste	sim	masculino	desktop	3397.14
E000247	7	44.96	35	187	1	livros	paga_facebook	nao	36	Norte	sim	feminino	desktop	471.16
E000248	3	110.37	32	690	3	moda	paga_facebook	nao	27	Nordeste	nao	feminino	mobile	384.67
E000249	8	171.86	77	196	6	eletronicos	organica	nao	45	Sudeste	sim	feminino	desktop	11888.61
E000250	5	121.35	23	28	1	casa_decoracao	email_marketing	nao	38	Sudeste	nao	masculino	desktop	2114.84
E000251	1	76.56	20	157	1	moda	paga_google	nao	37	Sudeste	nao	masculino	desktop	147.7
E000252	8	186.17	52	487	1	casa_decoracao	organica	sim	57	Sul	nao	masculino	tablet	4363.69
E000253	6	88.22	22	225	2	infantil	paga_facebook	nao	37	Sudeste	nao	feminino	mobile	748.99
E000254	8	60.4	27	564	4	infantil	email_marketing	sim	24	Norte	nao	masculino	mobile	460.65
E000255	3	48.34	17	120	2	beleza	paga_facebook	sim	52	Sul	sim	masculino	mobile	240.41
E000256	4	52.08	27	669	3	alimentos_bebidas	email_marketing	nao	28	Sudeste	nao	feminino	mobile	181.98
E000257	5	50.23	38	708	1	infantil	organica	nao	37	Sudeste	nao	masculino	desktop	344.2
E000258	5	82.59	14	80	2	moda	organica	sim	31	Sudeste	nao	feminino	mobile	646.09
E000259	13	145.81	29	409	3	casa_decoracao	paga_google	sim	35	Centro-Oeste	sim	masculino	mobile	3372.46
E000260	5	179.67	15	213	3	casa_decoracao	paga_facebook	sim	48	Sudeste	nao	masculino	desktop	1361.43
E000261	10	171.68	27	134	2	eletronicos	email_marketing	sim	28	Sudeste	sim	masculino	mobile	7492.6
E000262	5	153.94	27	147	4	eletronicos	organica	nao	28	Sudeste	sim	feminino	desktop	2382.76
E000263	15	141.59	34	80	2	moda	organica	sim	37	Sudeste	sim	feminino	mobile	9661.17
